symbol,date,expiry,option_type,strike_price,open,high,low,close,ltp,settle_price,no_of_contracts,turnover_in_lakhs,premium_turnover_in_lakhs,open_int,change_in_oi,underlying_value,time_to_expiration
NIFTY,2025-05-12,2025-05-22,CE,24650.0,165.0,517.65,163.7,504.6,510.35,504.6,11626.0,217592.02,2656.35,119250.0,-18900.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24750.0,119.45,444.75,119.45,430.45,438.05,430.45,17518.0,328678.95,3501.07,64350.0,11325.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25500.0,16.95,95.5,13.65,86.4,89.55,86.4,131156.0,2513873.57,5515.07,1128300.0,762000.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24900.0,105.05,348.45,78.7,332.0,339.9,332.0,67133.0,1264128.23,10419.46,451125.0,129750.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23850.0,788.7,1061.25,788.7,1061.25,1061.25,1133.9,190.0,3528.71,130.09,16275.0,-9075.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24350.0,320.3,763.0,318.55,749.25,752.05,749.25,2330.0,43362.37,810.75,22575.0,-40875.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22550.0,2469.85,2469.85,2461.1,2465.5,2461.1,2465.5,2.0,37.52,3.7,600.0,150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25600.0,12.9,74.65,11.4,66.55,67.05,66.55,48804.0,938615.15,1578.35,400350.0,280050.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25750.0,10.0,51.55,5.8,45.9,44.8,45.9,8443.0,163240.52,185.08,64800.0,51150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22150.0,2825.05,2832.0,2825.05,2828.55,2832.0,2828.55,2.0,37.47,4.24,300.0,150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24250.0,339.55,847.4,339.55,835.5,833.0,835.5,1307.0,24308.05,536.99,21600.0,-29925.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22650.0,2109.95,2330.0,2109.95,2330.0,2330.0,2330.0,3.0,56.04,5.08,150.0,150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24500.0,167.95,641.95,167.95,623.15,631.15,623.15,44047.0,821825.3,12461.68,808800.0,415425.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25250.0,36.15,173.3,34.55,157.55,162.4,157.55,18163.0,345398.67,1436.86,101850.0,78825.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25550.0,15.6,84.25,15.0,75.8,76.0,75.8,11684.0,224312.96,418.31,95400.0,78675.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25800.0,8.35,46.15,7.75,40.0,40.65,40.0,46707.0,904686.18,905.73,475725.0,377100.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,26100.0,5.55,23.7,4.5,20.4,20.55,20.4,26932.0,527480.8,286.9,295800.0,172725.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24000.0,436.2,1073.7,436.2,1051.9,1060.95,1051.9,8026.0,149060.79,4592.79,341550.0,-123300.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22250.0,2766.7,2766.7,2757.7,2762.2,2757.7,2762.2,2.0,37.52,4.14,525.0,150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22750.0,2273.1,2273.1,2269.35,2271.25,2269.35,2271.25,2.0,37.53,3.41,525.0,150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22850.0,2128.7,2173.0,2128.7,2150.85,2173.0,2150.85,2.0,37.5,3.23,600.0,150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25100.0,50.35,238.05,43.25,222.2,228.7,222.2,64051.0,1211952.01,6191.93,348900.0,49275.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25300.0,23.75,154.45,23.7,140.65,143.85,140.65,68073.0,1296111.48,4426.31,420900.0,266250.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23050.0,1708.85,1964.4,1708.85,1943.0,1964.4,1943.0,15.0,281.0,21.68,2175.0,-150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25400.0,23.0,121.8,18.2,110.35,113.25,110.35,55782.0,1065727.48,3080.38,388725.0,181125.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25450.0,21.25,108.2,20.05,97.9,101.0,97.9,13884.0,265759.36,748.51,147900.0,129600.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23350.0,1650.6,1652.65,1647.0,1650.1,1652.65,1650.1,3.0,56.25,3.71,1725.0,225.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25650.0,8.25,68.0,6.7,59.1,60.45,59.1,12117.0,233441.72,340.93,121800.0,94050.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23650.0,1000.45,1264.7,997.25,1264.7,1264.7,1324.8,22.0,407.42,17.19,4350.0,150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25950.0,7.75,32.7,5.2,28.55,29.0,28.55,5444.0,106027.46,73.61,40650.0,23550.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,26050.0,5.05,25.8,3.6,23.0,22.5,23.0,6441.0,125911.34,70.3,76950.0,42375.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23900.0,640.0,1160.3,627.4,1144.85,1154.05,1144.85,1150.0,21358.9,745.15,44025.0,-16200.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,26150.0,4.55,20.8,4.3,18.25,18.4,18.25,6515.0,127839.78,64.35,42225.0,30150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24100.0,502.35,979.85,497.45,965.6,965.6,965.6,2242.0,41648.22,1124.07,76950.0,-41625.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24150.0,447.6,930.1,447.6,919.3,911.5,919.3,827.0,15368.38,389.34,21000.0,-6000.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24400.0,210.0,718.0,209.95,700.65,712.0,700.65,15816.0,294498.74,5065.94,178800.0,-30375.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22400.0,2211.45,2564.55,2211.45,2548.8,2548.8,2564.3,3.0,55.89,5.49,675.0,75.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22500.0,2099.95,2384.7,2099.95,2384.7,2384.7,2464.45,24.0,444.39,39.39,1200.0,300.0,24924.7,0.02737850787132101
